DIMENSIONES;RECURSO;NOMBRE DEL RECURSO/PROGRAMA;DESCRIPCIÓN DEL RECURSO;DIRECCIÓN;LOCALIDAD;CONTACTO;ZONA
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Envión;Sede Melchor Romero;ENVIÓN busca fortalecer el rol socioeconómico, político y cultural de adolescentes y jóvenes de la Provincia de Buenos Aires en situación de vulnerabilidad;CALLE 527 e/ 164 y 165, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;EL PAN DE LOS PIBES;"brinda asistencia alimentaria a familias necesitadas. Específicamente, se trata de un espacio donde se ofrece comida a personas y familias que lo requieren, funcionando como un comedor comunitario o social. Además, algunos comedores comunitarios, como ""El Pan de los Pibes"", pueden tener un enfoque en la autogestión, la participación comunitaria y la promoción de hábitos saludables";CALLE 520 N° 7355, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;EL GALPÓN;es un comedor comunitario en La Plata que fue arrasado por un incendio. El comedor, que trabaja junto a la Cooperativa de Cartoneros Platenses, brinda asistencia alimentaria a cientos de personas y, a raíz del incendio, se vio obligado a suspender todas sus actividades. El incidente, que parece haber sido causado por una falla eléctrica, causó gran dolor entre los trabajadores del comedor, quienes habían iniciado recientemente un importante proyecto con niños. Ahora, solicitan ayuda a la comunidad para poder reconstruir el lugar y retomar sus actividades.;CALLE 520 e/ 166 y 167, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;CORAZONCITO DE MALVINAS;es un comedor comunitario ubicado en el barrio de Malvinas Argentinas, que se dedica a brindar apoyo y alimento a niños y familias de la zona. Funciona como un espacio de contención donde se reparte alegría y se busca que nadie se sienta solo, ofreciendo más que un plato de comida caliente;CALLE 36 BIS N° 2900, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;CENTRO NI UN PIBE MENOS POR LA DROGA;Conveniada con  con la Subsecretaría de Salud Mental, Consumos Problemáticos y Violencias en el ámbito de la Salud Pública;CALLE 173 y 515, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Inmaculada Concepción;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;AV. 520 N° 7899, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Nuestra Señora Desatanudos;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;169 e/ 514 y 515, Melchor Romero, La Plata, Buenos Aires, La Plata;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Santa Rita;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;AV. 520 N° 5890, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Iglesia Pentecostal del Nombre de Jesucristo;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 156 e/ 523 y 524, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club D. y B. P. Romerense;institución donde se realizan actividades culturales y deportivas diversas;CALLE 517 Nº 7594, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Los Alamos Club Social y Deportivo;es una Escuela de Fútbol orientada a incentivar la practica de este deporte;CALLE 183 y 500, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club Colonia Urquiza;Es un club social, cultural y deportivo que funciona como un punto de encuentro para la comunidad.;CALLE 475 y 187, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Centro Cultural Comunitario Zona Oeste;institución donde se realizan actividades culturales y deportivas diversas;CALLE 156 e/ 131 y 132, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;ARANA 2;Es un merendero y comedor comunitario que brinda asistencia a familias necesitadas, brindando contención y apoyo;CALLE 167 e/ 75 y 76, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº84;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;6298,B1903GMF, C. 508 6200, B1903GMF Melchor Romero, Provincia de Buenos Aires;Melchor Romero;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA N°96 ALMAFUERTE;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;AV. 520 y 183, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROTECCION ESPECIAL;Hogar Convivencial;CASA DE PROMOCION Y PROTECCION DE DERECHOS MIL FLORES;Hogar oficial provincial;CALLE 141 y 514, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROTECCION ESPECIAL;Servicios Locales de Promoción y Protección de Derechos.;SERVICIO LOCAL DE PYP DE DERECHOS DE NNYA–SAN CARLOS;un Servicio Local es un organismo municipal encargado de promover y proteger los derechos de niños, niñas y adolescentes. Funciona como una oficina de promoción y protección de derechos, interviniendo en situaciones donde se vulneran los derechos de los menores de edad. Su objetivo principal es garantizar que los niños, niñas y adolescentes tengan acceso a sus derechos y brindarles protección y asistencia.;CALLE 518 y 141, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
SALUD ADOLESCENTE;Hospitales Especializados;"HOSPITAL SUBZONAL ESPECIALIZADO ""DR. RAMOS MEJÍA""";Especializado en la inclusión de mujeres con discapacidad;CALLE 143 e/ 521 y 522, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 3;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 45 e/ 146 y 147, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 20;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 139 N°74, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 33;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 142 y 520, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº22;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;AV. 520 e/ 138 y 139, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº68;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 138 BIS e/ 33 y 34, San Carlos, La Pata, Buenos Aires;San Carlos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº89;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 140 e/ 43 y 44, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO SAN MIGUEL;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 44 N° 1973, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;SAN JUAN BAUTISTA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 520 N° 4605, San Carlos, La Plata, Buenso Aires;San Carlos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;INSTITUTO SAN CARLOS;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 32 N° 2179, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO SECUNDARIO HUELLAS;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 40 e/147 y 149, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro de Formacion Profesional;CENTRO DE FORMACIÓN PROFESIONAL Nº435;Son unidades educativas que tienen como objeto la formación en saberes y competencias de nivel técnico, adecuadas a las demandas socioproductivas y científicas;AV. 44 N° 1973, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
SEGURIDAD;Subcomisariía;SUBCOMISARÍA LA UNIÓN;Las Subcomisarías funcionarán con dependencia directa de la Comisaría. A su vez tienen bajo su dependencia a los destacamentos y Puestos de Vigilancia ubicados en la jurisdicción del radio que abarque directamente aquella dependencia.;CALLE 137 e/ 524 y 525, San Carlos, La Plata, Buenos Aires ;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;ASOCIACIÓN CIVIL CENTRO DE ESTUDIOS PARA LA AUTOGESTIÓN DE LA ECONOMÍA;Centro Comunitario en San Carlos. Educación y formación de población vulnerable.;CALLE 145 y 525, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;ASOCIACIÓN MUTUAL TALLERES;Centro Comunitario que trabaja con niños, niñas, adolescentes y sus familias que se encuentran en situación de vulnerabilidad social. En su mayoría los grupos familiares son provenientes de Bolivia, Paraguay, y de la sprovincias de JUjuy y Chaco. Se trata de familias que  preservan sus tradiciones y costumbres originarios y son pequeños productores que se dedican a la flori, fruti y horticultura. Existe un gran índice de analfabetismo entre los adultos debido a la falta de acceso al sistema educativo para los mismos. ;139 N° 427, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;BIBLIOTECA POPULAR EN LA ESQUINA;Ubicada en el barrio Futuro, en San Carlos, en el que hay una fuerte comunidad boliviana, una de las más tradicionales de La Plata, donde se conservan idiomas, costumbres y celebraciones tradicionales de ese país. La Biblioteca tiene deiferentes actividades para niñas, niños y adolescentes, que asisten a la escuela y  comparten luego las tardes en la biblioteca con nuevas propuestas y acompañamiento en sus trayectorias educativas.;CALLE 32 e/ 164 y 165, San Carlos, La Plata, Provincia de Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión of NNyA;CENTRO VECINAL EL TRIUNFO;El Centro Vecinal se encuentra emplazado en el barrio “El Triunfo”, perteneciente a San Carlos. Desde hace 12 años el Centro Vecinal El Triunfo, se construye como un espacio barrial de referencia que va más allá de la urgencia. La permanencia del trabajo y la organización han permitido generar un espacio en donde la población de niños, niñas y jóvenes en situación de vulnerabilidad, pueden acceder a recursos culturales, recreativos, deportivos, educativos y artísticos.;CALLE 524 N° 4038, San Carlos, La Plata, Provincia de Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;"INSTITUCIÓN “LA MÁQUINA DE LOS SUEÑOS""";"Es una asociación civil que viene trabajando desde hace muchos años en proyectos educativos, para garanrizar que todos los niños, niñas y adolescentes tengan igualdad de posibilidades. Poseen una ludoteca para niños de 3 a 12 años,  llevan adelante el Proyecto Padrinos Escolares para solventar los gastos de la escolaridad de niños y Jóvenes a través de la ayuda económica mensual de un padrino. Desde su creación han llevado adelante distintos proyectos educativos entre los que destaca una escuela; actividades de apoyo escolar, cursos y seminarios para docentes, entre otros. Funciona además un Bachillerato de Adultos. Trabajan en articulación y dialogo con organizaciones y actores sociales en relación a actividades tendientes a promoción y protección de derechos de NNYA. Destacan en tres otroas acciones: Consultorios psicológicos gratuitos, Consultorio Jurídico gratuito. Escuela de Oficios de la Universidad. ";CALLE 148 N° 200, San Carlos, La Plata , Provincia de Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;ASOCIACIÓN CIVIL LA CASA CALLE 44 A CARGO DEL PROYECTO “POR UN MUNDO QUE ABRACE”;La Casa es un colectivo de trabajo en educación popular que viene desarrollando actividades con la comunidad del barrio El Retiro. La organización busca acompañar a las familias en la tarea de crianza de sus hijxs, ofrecer un espacio de trabajo conjunto y contención, generar condiciones para el desarrollo educativo de lxs niñxs estimulando la creatividad y la curiosidad, construir redes de apoyo y organización en el barrio que mejoren las condiciones de vida, ofrecer un espacio de encuentro para lxs jóvenes donde construyan junto a otrxs, proyectos colectivos para sus vidas.Iintegra el espacio de las Organizaciones de lxs Chicxs del Pueblo, conformado por más de 300 organizaciones comunitarias de todo el país que acompañan a niñeces y juventudes en su crianza y construcción de proyectos de vida.  El trabajo con lxs vecinxs del barrio El Retiro por parte de La Casa se viene realizando hace trece años en espacios de trabajo con formas que fueron variando a lo largo del tiempo: talleres de apoyo escolar, talleres de música, de plástica, de fotografía, de cocina, emprendimientos productivos, etc.;CALLE 155 e/ 44 y 46, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;INSTITUCIÓN PANTALÓN CORTITO;"La Asociación civil surge como una organización comunitaria para apoyar a las familias del barrio en situación de vulnerabilidad. Desarrolla diferentes propuestas y actividades como acompañamiento familiar, social y escolar para promover una crianza saludable y procesos de inclusión social. Articula con diferentes instituciones estatales, para atender diferentes situaciones de salud, alimentación, atención y prevención de consumos problemáticos. Posee un Jardín Comunitario; y lleva adelante otras actividades educativas y talleres artísticos con objetivo del desarrollo integral de las niñas, niños y adolescentes; lleva adelante cursos y capacitaciones de orientación laboral. Posee un Área Multideportiva (vóley, fútbol, básquet, patín, baile, yoga, acrobacia en tela) considerando al deporte como una herramienta fundamental para la salud física y mental de niños/niñas y adolescentes";CALLE 139 N° 425, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;CENTRO VECINAL EL TRIUNFO;Es un proyecto diseñado para desarrollar un trabajo con niños, niñas y jóvenes de entre 0 y 21 años del barrio El Triunfo de San Carlos. Algunas de las problemáticas principales que viven lo NNyA del territorio son la falta de acceso a la conectividad, falta de acceso a cursos de formación para adolescentes, falta de acceso a un medio ambiente saludable por la falta de infraestructura y de servicios deficientes con que cuenta el barrio. Niñez y jóvenes expuestos a situaciones de violencia familiar y de género. Parten desde la idea de responsabilidad compartida y consideran de suma importancia el papel de su institución en el trazado de lazos entre las familias, escuelas y demás instituciones que la población frecuenta. Realizan juegos, talleres y eventos en busca de resolver problemas y mejorar la integración de la comunidad.;CALLE 524 N° 4038, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Envión;Sede San Carlos;ENVIÓN busca fortalecer el rol socioeconómico, político y cultural de adolescentes y jóvenes de la Provincia de Buenos Aires en situación de vulnerabilidad;CALLE 518 y 141, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;MALVINAS ARGENTINAS;Ofrece comida a personas que lo necesitan, especialmente niños y adultos mayores, y también funciona como un espacio de contención y alegría para la comunidad;CALLE 36 BIS 151 y 152, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;QUOM LLALAC'PI;Comedor Comunitario Qom Llalec Pi que funciona en la región periférica del Gran La Plata, donde decenas de niños y niñas mayormente descendientes de este pueblo originario reciben a diario la comida y llevan a sus familias, gracias al trabajo voluntario de madres y padres de la comunidad.;CALLE 151 N° 469, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;San Carlos Borromeo;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;AV. 32 e/ 138 y 139, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;San Juan Bautista;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;AV. 520 N° 4605, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;San Mateo;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;AV. 32 N° 1716, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club Nueva Fuerza;se dedica principalmente a la práctica de fútbol, tanto masculino como femenino. Además de fútbol, el club también ofrece otras actividades;AV. 38 Nº 2742, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club San Juan Bautista;Es un club deportivo que ofrece actividades como fútbol, u otras disciplinas, según la información disponible.;CALLE 146 Nº 1700, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club Asociacion Iris;institución donde se realizan actividades culturales y deportivas diversas;CALLE 143 y 517, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 21;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 131 e/ 639 y 640, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Iglesia Movimiento de Gloria;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 38 y 132, San Carlos, Buenos Aires;San Carlos;;ZONA OESTE
PROTECCION ESPECIAL;Hogar Convivencial;HOGAR PÉREZ CARREÑO;Hogar oficial provincial;AV. 44 N° 2549, San Carlos, Buenos Aires;San Carlos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Iglesia Uno En El Señor;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 138 e/ 32 y 33, San Carlos, Buenos Aires;San Carlos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº81;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;AV. 520 e/ 138 y 139, San Carlos, La Plata, Buenos Aires;San Carlos;;ZONA OESTE
PROTECCION ESPECIAL;Servicios Locales de Promoción y Protección de Derechos.;SERVICIO LOCAL DE PYP DE DERECHOS DE NNYA– ALTOS DE SAN LORENZO;un Servicio Local es un organismo municipal encargado de promover y proteger los derechos de niños, niñas y adolescentes. Funciona como una oficina de promoción y protección de derechos, interviniendo en situaciones donde se vulneran los derechos de los menores de edad. Su objetivo principal es garantizar que los niños, niñas and adolescentes tengan acceso a sus derechos y brindarles protección y asistencia.;CALLE 75 y 25 , Altos de San Lorenzo, La Plata, Buenos Aires;Altos de San Lorenzo;;ZONA ESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 8;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 20 y 85, Altos de San Lorenzo, La Plata, Buenos Aires;Altos de San Lorenzo;;ZONA ESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 46;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 16 y 608, Altos de San Lorenzo, La Plata, Buenos Aires;Altos de San Lorenzo;;ZONA ESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº  41;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 84 e/ 131 y 132, Altos de San Lorenzo, La Plata, Buenos Aires;Altos de San Lorenzo;;ZONA ESTE
SALUD ADOLESCENTE;CPA;CENTRO PROVINCIAL DE ATENCIÓN;Son dispositivos públicos de salud, de atención y cuidado, con base territorial y comunitaria, en los que se brindan prestaciones de tipo ambulatoria. Tienen el propósito de prevenir, detectar, diagnosticar problemáticas vinculadas a salud mental, y promover y desarrollar procesos de atención ante padecimientos en salud mental, situaciones de consumos problemáticos y de violencia que se presentan en el ámbito de la salud pública.;CALLE 28 y 88, Altos de San Lorenzo, La Plata, Buenos Aires ;Altos de San Lorenzo;;ZONA ESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº45;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 23 BIS y 85, Altos de San Lorenzo, La Plata, Buenos Aires;Altos de San Lorenzo;;ZONA ESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº49 ""JOSÉ BERRO""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;AV. 137 y 86, Altos de San Lorenzo, La Plata, Buenos Aires;Altos de San Lorenzo;;ZONA ESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº52;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 131 N° 2225, Altos de San Lorenzo, La Plata, Buenos Aires;Altos de San Lorenzo;;ZONA ESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;NUESTRA SEÑORA DE FATIMA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 15 N° 2167, Altos de San Lorenzo, La Plata, Buenos Aires;Altos de San Lorenzo;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;ASOCIACIÓN CIVIL LA SEDE DEL PUENTE DE FIERRO;La Sede del Puente de Fierro es una asociación civil ubicada en la localidad de Altos de San Lorenzo, partido de La Plata nacida en el año 2013 como respuesta a la crisis surgida a partir de la histórica inundación acaecida ese año. Hoy lleva adelante distintas actividades comunitarias gratuitas dirigidas a la población de la zona, articuladas especialmente en torno de tres ejes: asistencia alimentaria, educación y mejoramiento del hábitat. Cuenta con una gran presencia y labor comunitarios y ha trabajado con diversos organismos gubernamentales. universidades o asociaciones civiles, como dictando oficios o cooperando con el ITBA en un taller de construcción de tanques solares.;CALLE 27 N° 2842, Altos de San Lorenzo, La Plata, Buenos Aires;Altos de San Lorenzo;;ZONA ESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Envión;Sede Altos de San Lorenzo;ENVIÓN busca fortalecer el rol socioeconómico, político y cultural de adolescentes y jóvenes de la Provincia de Buenos Aires en situación de vulnerabilidad;CALLE 19 y 85, Altos de San Lorenzo, La Plata, Buenos Aires;Altos de San Lorenzo;;ZONA ESTE
